entry_id,event_id,event_name,event_subtype_custom,description,date_in_text,source_date,location,location_normalized,brief_context,information_source,information_source_type,confidence,classification_confidence,keywords,text_fragment,category,month,month_name
131,AUTHOR_PERCEPTION_OPINION_BIAS,"Личные предубеждения/симпатии/антипатии автора (к нациям, группам, идеологиям)",Антипольские предубеждения и обвинение поляков,"Размышляя о причинах войны, автор приходит к выводу, что виновниками являются ""поляки изменники"". Это отражает его личные антипольские предубеждения, которые совпадали с официальной российской пропагандой, стремившейся представить венгерское восстание как часть польского революционного движения.",,1849-05-12,Не указано,,"Российская пропаганда активно использовала ""польский вопрос"", представляя венгерскую революцию как часть польского заговора. Многие польские эмигранты (Юзеф Бем, Генрик Дембинский) действительно занимали высокие посты в венгерской революционной армии.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['поляки', 'изменники', 'предубеждения', 'пропаганда', 'антипольские настроения']",впрочем кажется ясно сказать что поляки изменники.,AUTHOR_PERCEPTION,5,May
131,AUTHOR_PERCEPTION_EMO_ANGER,"Гнев, возмущение, ненависть",Ненависть к ссыльным полякам в Вологде,"Автор выражает крайнюю степень ненависти по отношению к польским ссыльным, проживающим в Вологде. Он называет их ""канальями"" и высказывает жестокое пожелание их казнить. Эта эмоциональная реакция демонстрирует глубокую личную ксенофобию, усиленную текущими политическими событиями и официальной антипольской риторикой.",,1849-05-12,Вологда,"Вологда, Россия","Вологда была одним из традиционных мест ссылки для участников польского восстания 1830-1831 гг. Враждебность к ним в российском обществе могла усиливаться в периоды обострения ""польского вопроса"", как во время революций 1848-1849 гг.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['ссыльные поляки', 'ненависть', 'Вологда', 'ксенофобия', 'гнев']","А какого слышать это здешним ссыльным полякам, а у нас в Вологде или их довольно, канальи всех их бы перевешать.",AUTHOR_PERCEPTION,5,May
133,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Реформа гимназий с разделением на факультеты,"Автор сообщает о получении в канцелярии гимназии официального документа о предстоящей реформе. Реформа вводит разделение обучения на три направления ('факультета'): классическое (латинский и греческий языки) для поступающих в университет, юридическое для готовящихся к гражданской службе и математическое для будущих военных. Эта мера является прямым следствием политики 'мрачного семилетия', направленной на усиление государственного контроля над образованием и предотвращение распространения либеральных идей после европейских революций.",сегодня,1849-05-14,канцелярия,"Вологда, Россия","В период после революций 1848 года ('мрачное семилетие') правительство Николая I ужесточило контроль над системой образования, стремясь ограничить преподавание философии и других 'вольнодумных' предметов и сделать обучение более прагматичным и специализированным.",формальная бумага в канцелярии,"Официальные источники (газеты, манифесты)",High,High,"['реформа образования', 'гимназия', 'факультеты', 'контроль', 'государственная политика']","тем более что на будущий год будет большая перемена: сегодня получена в канцелярию формальная бумага о разделении на факультеты, то есть те кто хочет готовить себя в университет будут учится латинскому и греческому, а кто в гражданскую службу для тех будет преподаваться юриспруденция, а тот кто желает в военную службу учится преимущественно математике.",RU_REACTION,5,May
137,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о долге служения государю и отечеству,"Размышляя о своей лени и упущенных возможностях, автор утешает себя мыслью о будущем, которое он должен посвятить труду 'для государя и отечества'. Это отражает усвоение им официальной патриотической и консервативной идеологии, усиленной в России в ответ на европейские революции 1848-1849 гг., как рамки для личных жизненных целей. Однако он тут же скептически называет это 'пустым фразерством', показывая сложное и неоднозначное восприятие этого долга.",,1849-05-19,Не указано,Россия,"В период 'мрачного семилетия' (1848-1855) правительство Николая I активно продвигало идеологию 'Православие, Самодержавие, Народность' как противовес революционным идеям Запада, подчеркивая долг каждого подданного служить престолу и отечеству.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['государь', 'отечество', 'долг', 'патриотизм', 'размышления']","и только трудись, не ленись в какой бы не было должности, для государя и отечества, пока Бог дает время твоей деятельности и тогда только прилежанием можешь загладить прошлое и все это одно пустое фразерство, мечта, трудно очень трудно сделаться закоренелому лентяю прилежным и полезным для чего-нибудь.",AUTHOR_PERCEPTION,5,May
140,AUTHOR_PERCEPTION_EMO_FEAR,"Страх, беспокойство, тревога",Опасения по поводу ведения дневника,"Автор выражает сомнение и беспокойство по поводу ведения дневника, отмечая, что 'теперь совершенно не такое время'. Эта фраза отражает его личную тревожную реакцию на общую атмосферу усиления государственного контроля, цензуры и подозрительности в Российской империи, которая была прямым следствием реакции властей на европейские революции 1848-1849 гг. и известна как 'Мрачное семилетие'.",,1849-05-22,Вологда,"Вологда, Россия","В 1848 г. в России был учрежден негласный Комитет 2 апреля (Бутурлинский комитет) для высшего надзора за печатью, что резко усилило цензуру. Этот период, известный как 'Мрачное семилетие', характеризовался подавлением инакомыслия и общей атмосферой страха в образованном обществе.",Личные размышления автора,Личные наблюдения и опыт автора,Medium,Medium,"['дневник', 'не такое время', 'страх', 'цензура', 'атмосфера']","Не знаю на что решиться писать ли дневник, теперь совершенно не такое время, лучше оставить и только строчек по пять довольно будет записать, а если будет время и очень поважнее, так верно и поленюсь...",AUTHOR_PERCEPTION,5,May
176,RU_REACTION_INTERNAL_ARRESTS,Аресты / Следствия / Суды по политическим делам (Петрашевцы и др.),Слухи о заговоре Петрашевцев,"Автор пересказывает слух, полученный от знакомого, о раскрытии в Петербурге заговора из 70 человек во главе с 'полком Петрушевским' (вероятно, искаженное 'Петрашевский'). Целью заговора называются цареубийство и организация беспорядков. Сообщается об аресте всех участников тайной полицией.",,1849-06-30,в Петербурге,"Санкт-Петербург, Россия","Дело Петрашевцев (1849) — судебный процесс над участниками кружка М.В. Петрашевского, которые обсуждали идеи утопического социализма. Аресты стали знаковым событием в рамках ужесточения внутренней политики Николая I после европейских революций 1848 года.",Зарлянд (со слов студентов),"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['заговор', 'Петербург', 'Петрашевский', 'аресты', 'тайная полиция']","в Петербурге открыт был заговор, 70 человек и все они в два дня были забраны тайной полицией главным зачинщиком был обыкновенно полк Петрушевский... целью этого заговора было убить государя и произвести главное дело беспорядки...",RU_REACTION,6,June
176,RU_REACTION_SOCIAL_DISCUSS,Обсуждение событий / Слухи в обществе,Слухи о казни заговорщиков,"Автор передает слух о суровом наказании для раскрытых заговорщиков: шестеро якобы повешены, а остальные сосланы в Сибирь. Эта информация, особенно о казнях, была неточной и отражает циркулировавшие в обществе преувеличенные представления о репрессиях.",,1849-06-30,Не указано,,"В действительности, 21 петрашевец был приговорен к смертной казни, но ее в последний момент заменили каторгой и ссылкой. Инсценировка казни на Семеновском плацу стала мощным актом устрашения.",Зарлянд (со слов студентов),"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['повешены', 'Сибирь', 'слухи', 'наказание', 'заговорщики']","шесть из них были повешены, прочие должно быть в Сибири.",RU_REACTION,6,June
176,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Планы преобразования университета,"Автор упоминает, что из-за участия студентов в заговоре планируется 'преобразовать весь университет'. Это отражает реальную политику властей по ужесточению контроля над высшим образованием для искоренения вольнодумства после событий 1848 года.",,1849-06-30,Петербург,"Санкт-Петербург, Россия","В 1849 году был усилен надзор за университетами, ограничено преподавание философии и государственного права европейских стран, а также сокращено число студентов для предотвращения распространения 'революционной заразы'.",Зарлянд (со слов студентов),"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['университет', 'преобразовать', 'студенты', 'контроль', 'образование']","тут попались и пять студентов университета поэтому теперь и назначено преобразовать весь университет,",RU_REACTION,6,June
176,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Одобрение репрессий против заговорщиков,"Автор прямо выражает свое личное мнение по поводу раскрытия заговора, заявляя, что 'Бог хранит Россию и карает злодеев'. Эта фраза демонстрирует его полную поддержку действий властей, осуждение заговорщиков и консервативно-монархические, религиозные взгляды.",,1849-06-30,Россия,Россия,"Официальная идеология Николая I 'Православие, Самодержавие, Народность' находила живой отклик у части общества. Подавление инакомыслия воспринималось как защита священных устоев государства.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['Бог хранит Россию', 'карает злодеев', 'поддержка власти', 'личное мнение', 'монархизм']",но нет Бог хранит Россию и карает злодеев,AUTHOR_PERCEPTION,6,June
177,REV1848_GER_AUS_SUPP,Подавление восстаний / Контрреволюция,Конфликт Пруссии с другими немцами,"Автор, читая газеты, упоминает ожесточенные бои между пруссаками и немцами. Это, вероятнее всего, относится к подавлению Пруссией последних республиканских восстаний в Германии, в частности, в Бадене и Пфальце, летом 1849 года.",,1849-07-01,Не указано,Германские государства,"В мае-июле 1849 года прусские войска подавляли республиканское восстание в Бадене и Пфальце, что стало заключительным этапом революции в Германии.",Газеты,"Официальные источники (газеты, манифесты)",High,Medium,"['пруссаки', 'немцы', 'подавление восстаний', 'Германия', 'газеты']","В мире политическом дерутся на прополую, прусаки с немцами...",REV1848,7,July
177,REV1848_ITA_FRA_INT,Французская интервенция в Риме,,"Автор упоминает, что французы воюют с Римом. Это прямое указание на осаду Рима французскими войсками с целью ликвидации Римской республики и восстановления власти Папы Пия IX.",,1849-07-01,Рим,"Рим, Италия","В июне 1849 года французский экспедиционный корпус осаждал Рим. Город капитулировал 3 июля 1849 года, что положило конец существованию Римской республики.",Газеты,"Официальные источники (газеты, манифесты)",High,High,"['французы', 'Рим', 'интервенция', 'Римская республика', 'осада']",...французы с Римом...,REV1848,7,July
177,REV1848_ITA_GEN,Общие упоминания революции/войн в Италии,Военные действия Австрии в Италии,"Автор сообщает о продолжающихся военных действиях между австрийцами и итальянцами. На данный момент (июль 1849) это, скорее всего, относится к австрийской осаде Венецианской республики, последнего очага сопротивления в Италии.",,1849-07-01,Не указано,Италия,"После поражения Сардинского королевства в марте 1849 года, Австрийская империя продолжала подавление революционных очагов в Италии, в частности, осаждала Венецию, которая капитулировала в августе 1849 года.",Газеты,"Официальные источники (газеты, манифесты)",High,High,"['австрийцы', 'итальянцы', 'война', 'Италия', 'Венеция']",...австрийцы с итальянцами...,REV1848,7,July
177,REV1848_HUN_MIL_AUS,Военные действия (Австрия против Венгрии),,"Автор упоминает войну между австрийцами и мадьярами (венграми), что является центральным событием Венгерского восстания 1848-1849 гг.",,1849-07-01,Не указано,Венгрия,"Летом 1849 года австрийские войска, несмотря на помощь России, продолжали вести тяжелые бои с венгерской революционной армией.",Газеты,"Официальные источники (газеты, манифесты)",High,High,"['австрийцы', 'мадьяры', 'венгры', 'война', 'Венгрия']",...австрийцы с итальянцами и мадьярами...,REV1848,7,July
177,REV1848_HUN_RUS_MIL,Военные действия (Россия против Венгрии),Продвижение к Дебрецену,"Автор, основываясь на газетных сообщениях, пишет о победоносном наступлении российских войск на Дебрецен (""Дербечин"") и другие важные города Венгрии. Это отражает официальную подачу информации о ходе российской интервенции для подавления венгерского восстания.",,1849-07-01,"Дербечин, Венгрия","Дебрецен, Венгрия",В июне 1849 года русская армия под командованием фельдмаршала Паскевича начала интервенцию в Венгрию. Дебрецен был временной столицей революционной Венгрии.,Газеты,"Официальные источники (газеты, манифесты)",High,High,"['Россия', 'Венгрия', 'Дебрецен', 'интервенция', 'Паскевич']",Россия победоносно идет к Дербечину и столицам Венгрии.,REV1848,7,July
177,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Контраст между войной и научным прогрессом,"Автор противопоставляет ""политический мир"", где все ""дерутся напрополую"" (имея в виду европейские революции и войны), миру ""общественного общежития"", который характеризуется постоянными научными открытиями и изобретениями. Это его личное размышление о двух главных тенденциях современной ему эпохи.",,1849-07-01,Не указано,,"Эпоха 1840-х годов была временем как бурных революционных событий ('Весна народов'), так и значительного научно-технического прогресса, начала второй промышленной революции.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'политика', 'война', 'прогресс', 'XIX век']",В мире политическом дерутся на прополую... В мире общественного общежития постоянно новые изобретения и открытия чем отличается XIX век.,AUTHOR_PERCEPTION,7,July
179,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Приостановка приема в университеты,"Автор передает информацию от своего знакомого, А.И. Делло, о том, что в настоящее время приостановлен прием студентов во все университеты и на все факультеты. Это является отражением (возможно, преувеличенным в народной молве) реальных правительственных мер по усилению контроля над образованием, принятых в 1849 году в ответ на европейские революции.",,1849-07-03,Российская Империя,Россия,"В 1849 г. правительство Николая I резко ужесточило контроль над университетами, опасаясь 'революционной заразы'. Был введен лимит на число студентов (300 человек на университет), хотя медицинские факультеты формально были исключением из-за потребности в врачах.",Алекс. Иван. Делло,Информация от конкретного лица (именованный источник),High,High,"['университет', 'образование', 'ограничения', 'реакция', 'прием студентов']","Сегодня за обедней встретился еще с Алекс. Иван. Делло он хочет идти в лекаря и теперь только остановило его, что нынче не принимают не в один университет и ни на какой факультет, а он хотел ехать учиться в Московский университет и по медицинскому факультету...",RU_REACTION,7,July
179,AUTHOR_PERCEPTION_IMPACT_ACQ,Влияние событий на знакомых/родственников автора,Срыв планов поступления в университет,"Автор описывает, как правительственные ограничения на прием в университеты, введенные в качестве реакции на европейские революции, напрямую повлияли на жизненные планы его знакомого, А.И. Делло. Делло был вынужден отложить или изменить свои планы по получению медицинского образования в Московском университете.",,1849-07-03,Вологда,"Вологда, Россия","Репрессивные меры в сфере образования, принятые в 1848-1849 гг., напрямую влияли на судьбы молодых людей в Российской империи, заставляя их менять или откладывать свои образовательные и карьерные планы.",Личные наблюдения и опыт автора,Личные наблюдения и опыт автора,High,High,"['знакомый', 'университет', 'планы', 'влияние', 'Делло']","Сегодня за обедней встретился еще с Алекс. Иван. Делло он хочет идти в лекаря и теперь только остановило его, что нынче не принимают не в один университет и ни на какой факультет, а он хотел ехать учиться в Московский университет и по медицинскому факультету, теперь хочет ждать прямо до будущего года или уже ехать в Ярославский лицей...",AUTHOR_PERCEPTION,7,July
182,REV1848_EUR_CONTEXT_GEN,"Общие упоминания Весны народов, беспорядков на Западе",Сообщения о непрекращающихся боях в Европе,"Автор, прочитав газету «Петербургские ведомости», обобщенно отмечает, что в разделе иностранных известий постоянно сообщается о жестоких и непрекращающихся боях, что является его восприятием новостей о вооруженных конфликтах в рамках европейских революций 1848-1849 гг.",,1849-07-06,Европа (из иностранных известий),Европа,"К лету 1849 года, несмотря на подавление ряда восстаний, вооруженная борьба продолжалась в Венгрии (с участием России), в Риме (французская интервенция) и в германских государствах (Баденское восстание).",«Петербургские ведомости»,"Официальные источники (газеты, манифесты)",High,High,"['иностранные известия', 'дерутся', 'бои', 'Европа', 'газеты']",Из «Петербургских ведомостей» в иностранных известиях все одна история дерутся напропалую...,REV1848,7,July
182,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о конечном исходе европейских войн,"Прочитав о непрекращающихся боях в Европе, автор задается риторическим вопросом о том, чем все это закончится. Это отражает его личные размышления и беспокойство о будущем на фоне европейских революционных событий.",,1849-07-06,Не указано,,"Неопределенность исхода конфликтов в Венгрии и Италии, а также подавление последних очагов революции в Германии, вызывали в российском обществе много вопросов о будущем политическом устройстве Европы.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'будущее', 'война', 'беспокойство', 'личная реакция']",...чем только все это кончится невольно спрашиваешь себя...,AUTHOR_PERCEPTION,7,July
182,AUTHOR_PERCEPTION_EMO_FEAR,"Страх, беспокойство, тревога",Ужас от масштаба кровопролития в Европе,"Автор выражает сильную эмоциональную реакцию на новости из Европы, используя метафору разгорающегося пламени и называя происходящее 'ужасной резней'. Это свидетельствует о его страхе и ужасе перед масштабом насилия.",,1849-07-06,Европа (из иностранных известий),Европа,"Военные действия 1849 года, особенно в Венгрии и Италии, отличались большим ожесточением и количеством жертв, что находило отражение в прессе того времени.",Личные размышления автора на основе газет,Личные наблюдения и опыт автора,High,High,"['резня', 'ужасная', 'пламя', 'эмоциональная реакция', 'страх']","...и пламя все больше и больше разгорается, резня идет ужасная.",AUTHOR_PERCEPTION,7,July
188,RU_REACTION_INTERNAL_CENS,Усиление цензуры,Обсуждение ужесточения цензуры в журналах,"Автор отмечает, что причиной появления пустых статей в журналах является ужесточение цензуры, которая ""решительно не допускает ничего"". В качестве примера он приводит рассказ своего друга Корелкина о том, как в повести Н. Иваницкого цензура потребовала заменить слово ""чиновник"" на ""один молодой человек"". Это является прямым отражением усиления государственного контроля над печатью в ответ на европейские революции.",,1849-07-12,Россия,Россия,"В 1848 году, в ответ на революции в Европе, Николай I учредил ""Комитет для высшего надзора за духом и направлением печатаемых в России произведений"" (Бутурлинский комитет), который ввел эпоху крайне жесткой цензуры, известную как ""мрачное семилетие"".","Корелкин, личные наблюдения",Информация от конкретного лица (именованный источник),High,High,"['цензура', 'журналы', 'правительство', 'Корелкин', 'статьи']","Это от того нонче вообще во всех журналах стали появляться такие статьи от цензуры которая решительно не допускает ничего все стало непозволительно, Корелкин сказывал что и Ник. Иваницкого повесть «Натальин день» совершенно искажена, слово «чиновник» заменяется — «один молодой человек» и так проч.",RU_REACTION,7,July
188,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о страхе правительства как причине цензуры,"Автор размышляет о причинах ужесточения цензуры и приходит к личному выводу, что правительство чего-то боится. В историческом контексте 1849 года этот страх напрямую связан с опасениями распространения революционных идей из Европы.",,1849-07-12,Россия,Россия,"""Мрачное семилетие"" (1848-1855) — период правления Николая I, характеризующийся резким усилением реакции и репрессий внутри страны из-за страха перед европейскими революциями.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['правительство', 'страх', 'цензура', 'размышления', 'революция']",Верно боится правительство чего-нибудь но такими строгими мерами цензуры многие не очень довольны особенно кажется редакторы журналов...,AUTHOR_PERCEPTION,7,July
188,RU_REACTION_SOCIAL_OPPOS,Революционные / Оппозиционные / Вольнодумные настроения,Недовольство в обществе строгой цензурой,"Автор сообщает о настроениях в обществе, отмечая, что ""многие не очень довольны"" строгими мерами цензуры, особенно редакторы журналов. Это недовольство вызвано невозможностью печатать уже заготовленные статьи, что является проявлением скрытого общественного неодобрения политики властей.",,1849-07-12,Россия,Россия,"Ужесточение цензуры после 1848 года вызвало глухое недовольство в литературных и интеллектуальных кругах России, так как оно препятствовало развитию общественной мысли и литературы.",Личные наблюдения автора,Личные наблюдения и опыт автора,High,High,"['недовольство', 'цензура', 'редакторы', 'общество', 'статьи']",...но такими строгими мерами цензуры многие не очень довольны особенно кажется редакторы журналов и именно потому что теперь половина тех статей которые были заготовлены совершенно бросаются нельзя печатать.,RU_REACTION,7,July
188,REV1848_HUN_RUS_MIL,Военные действия (Россия против Венгрии),Взятие Дебрецена и продвижение русских войск,"Автор упоминает новости, вероятно, из ""Петербургских Ведомостей"", о ходе российской интервенции в Венгрии. Он сообщает, что город Дебрецен (Дербечин) был взят русскими войсками без боя, армия продолжает наступление, и что за этой войной следит вся Европа.",,1849-07-12,"Дербечин, Венгрия","Дебрецен, Венгрия","Русские войска под командованием И.Ф. Паскевича заняли Дебрецен, временную столицу революционной Венгрии, 21 июня (3 июля по новому стилю) 1849 года.",Петербургские Ведомости,"Официальные источники (газеты, манифесты)",High,High,"['Венгрия', 'война', 'Дебрецен', 'русские', 'Петербургские Ведомости']",В Венгрии война в самом разгаре Дербечин взят без выстрела русские идут все вперед и теперь вся Европа смотрит на эту войну.,REV1848,7,July
188,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Вопрос о последствиях войны в Венгрии,После прочтения новостей о ходе войны в Венгрии автор задается риторическим вопросом о ее будущих последствиях. Это отражает его личную заинтересованность и попытку осмыслить значение и исход текущих европейских событий.,,1849-07-12,Не указано,,"Исход Венгерской кампании 1849 года (подавление революции) укрепил статус России как ""жандарма Европы"" и на время заморозил революционные процессы в Австрийской империи.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['последствия', 'война', 'Венгрия', 'размышления', 'будущее']",Какие будут последствия?,AUTHOR_PERCEPTION,7,July
199,RU_REACTION_INTERNAL_CENS,Усиление цензуры,Опасение при чтении романа Эжена Сю,"Автор с опаской ('Сказать страшно') упоминает, что начал читать роман Эжена Сю 'Вечный жид'. Это указывает на то, что произведение считалось идеологически сомнительным или опасным в атмосфере усиления цензуры и борьбы с 'западным влиянием' в России, которая была прямой реакцией на революции 1848 года.",,1849-07-23,Вологда,"Вологда, Россия",Роман Эжена Сю 'Вечный жид' (1844-1845) содержал социалистические и антиклерикальные идеи. В период 'Мрачного семилетия' (1848-1855) он воспринимался в России как идеологически вредный и подлежал цензурным гонениям.,Личный опыт автора,Личные наблюдения и опыт автора,High,High,"['Эжен Сю', 'Вечный жид', 'цензура', 'запрещенная литература', 'западное влияние']","Начал читать и что же? Сказать страшно «Вечного жида» громадный роман Евгения Сю десять книг, на долго будет читать, занимателен очень, хорошо как будет дурная погода, а если хорошая то это не совсем то выгодно для меня потому что верно я не брошу своего чтения, как втянусь так сказать в содержание романа.",RU_REACTION,7,July
199,AUTHOR_PERCEPTION_EMO_FEAR,"Страх, беспокойство, тревога","Опасение, связанное с чтением 'опасного' романа","Автор прямо выражает личное чувство страха или опасения ('Сказать страшно'), связанное с самим фактом чтения романа Эжена Сю 'Вечный жид'. Эта эмоция является его персональной реакцией на чтение произведения, которое в условиях политической реакции 1849 года считалось идеологически опасным.",,1849-07-23,Вологда,"Вологда, Россия","В период после 1848 года в Российской империи усилился надзор за чтением и распространением западной литературы, особенно французских романов с социальной критикой, что создавало атмосферу страха у читателей.",Личное чувство автора,Личные наблюдения и опыт автора,High,High,"['страх', 'Вечный жид', 'Эжен Сю', 'чтение', 'эмоциональная реакция']",Сказать страшно «Вечного жида» громадный роман Евгения Сю...,AUTHOR_PERCEPTION,7,July
199,AUTHOR_PERCEPTION_EMO_CURIOSITY,"Любопытство, интерес",Интерес к социально-критическому роману,"Несмотря на опасения, автор выражает сильный личный интерес к роману Эжена Сю 'Вечный жид', называя его 'очень занимательным' и предполагая, что не сможет оторваться от чтения. Это демонстрирует любопытство молодого человека к западной литературе, содержащей новые социальные идеи, актуальные в эпоху революций.",,1849-07-23,Вологда,"Вологда, Россия","Французские социальные романы, такие как произведения Эжена Сю, пользовались большой популярностью в России, несмотря на цензурные ограничения, особенно среди молодежи и интеллигенции.",Личное чувство автора,Личные наблюдения и опыт автора,High,High,"['интерес', 'любопытство', 'Эжен Сю', 'Вечный жид', 'западная литература']","...занимателен очень, хорошо как будет дурная погода, а если хорошая то это не совсем то выгодно для меня потому что верно я не брошу своего чтения, как втянусь так сказать в содержание романа.",AUTHOR_PERCEPTION,7,July
